S.No,HallTicket-No,Branch,M-II,CE,AP,PSP,DLD,CE-LAB,AP-LAB,PSP-LAB,ES,LS-2,SGPA,CGPA
22,21BQ1A0522,CSE,A+,A,A,C,B,A+,A+,A+,COMPLETED,COMPLETED,8.92,9.08
23,21BQ1A0523,CSE,A,B,B,D,D,A+,A,A+,COMPLETED,COMPLETED,7.92,8.35
24,21BQ1A0524,CSE,A,B,B,D,C,A,A+,A+,COMPLETED,COMPLETED,8.08,8.23
25,21BQ1A0525,CSE,A+,C,A,C,A,A+,A+,A+,COMPLETED,COMPLETED,8.77,8.77
26,21BQ1A0526,CSE,A+,C,B,F,D,A,A,A+,COMPLETED,COMPLETED,6.92,7.19
27,21BQ1A0527,CSE,A+,A,B,B,E,A+,A,A+,COMPLETED,COMPLETED,8.38,8.58
28,21BQ1A0528,CSE,E,E,C,F,E,B,A,A,COMPLETED,COMPLETED,5.38,4.88
29,21BQ1A0529,CSE,C,C,B,C,E,A,A,A,COMPLETED,COMPLETED,7.31,6.92
30,21BQ1A0530,CSE,A+,B,A+,A,A,A,A+,A+,COMPLETED,COMPLETED,9.31,9.04
31,21BQ1A0531,CSE,A+,B,A,D,B,A+,A+,A+,COMPLETED,COMPLETED,8.62,8.62
32,21BQ1A0532,CSE,A+,B,A,C,B,A,A+,A+,COMPLETED,COMPLETED,8.69,8.65
33,21BQ1A0533,CSE,A+,B,A,B,B,A+,A+,A+,COMPLETED,COMPLETED,8.92,9.0
34,21BQ1A0534,CSE,A+,B,A,B,A,A+,A+,A+,COMPLETED,COMPLETED,9.08,9.23
35,21BQ1A0535,CSE,C,C,D,F,D,A,A,A,COMPLETED,COMPLETED,6.08,6.19
36,21BQ1A0536,CSE,B,C,B,E,C,A,A,A+,COMPLETED,COMPLETED,7.54,7.62
37,21BQ1A0537,CSE,A,C,A+,B,B,A,A+,A+,COMPLETED,COMPLETED,8.69,8.46
38,21BQ1A0538,CSE,F,D,D,F,D,B,A,A+,COMPLETED,COMPLETED,4.85,4.23
39,21BQ1A0539,CSE,A+,C,A+,D,B,A,A+,A+,COMPLETED,COMPLETED,8.54,8.77
40,21BQ1A0540,CSE,A,B,A,D,B,A,A,A,COMPLETED,COMPLETED,8.23,7.96
41,21BQ1A0541,CSE,A,B,A,D,B,A,A+,A+,COMPLETED,COMPLETED,8.38,8.38
42,21BQ1A0542,CSE,A+,C,A,C,B,A,A,A+,COMPLETED,COMPLETED,8.46,8.35
43,21BQ1A0543,CSE,A+,B,A+,B,A,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.38
44,21BQ1A0544,CSE,A,C,B,D,B,A,A,A+,COMPLETED,COMPLETED,8.0,8.04
45,21BQ1A0545,CSE,A,B,A,C,B,A,A,A+,COMPLETED,COMPLETED,8.46,8.46
46,21BQ1A0546,CSE,D,D,D,E,E,B,A,A+,COMPLETED,COMPLETED,6.38,6.15
47,21BQ1A0547,CSE,A,B,B,F,C,A,A,A+,COMPLETED,COMPLETED,7.08,7.81
48,21BQ1A0548,CSE,A,B,B,D,C,B,A,A+,COMPLETED,COMPLETED,7.92,7.65
49,21BQ1A0549,CSE,A,B,A,C,D,B,A,A+,COMPLETED,COMPLETED,8.08,7.92
50,21BQ1A0550,CSE,B,C,B,B,D,A,A,A+,COMPLETED,COMPLETED,7.85,7.81
51,21BQ1A0551,CSE,A+,B,A,A,B,A,A+,A+,COMPLETED,COMPLETED,9.0,8.81
52,21BQ1A0552,CSE,E,E,E,F,F,B,B,B,COMPLETED,COMPLETED,4.15,3.85
53,21BQ1A0553,CSE,A+,A,A,A+,D,A+,A+,A+,COMPLETED,COMPLETED,9.08,9.0
54,21BQ1A0554,CSE,A+,A,A,B,C,A,A+,A+,COMPLETED,COMPLETED,8.85,8.73
55,21BQ1A0555,CSE,A,B,A,A,D,A,A,A+,COMPLETED,COMPLETED,8.46,8.15
56,21BQ1A0556,CSE,A+,B,B,C,D,A+,A,A+,COMPLETED,COMPLETED,8.23,8.62
57,21BQ1A0557,CSE,A,B,B,B,B,A,A+,A+,COMPLETED,COMPLETED,8.54,8.58
58,21BQ1A0558,CSE,C,A,C,C,E,A,A,A+,COMPLETED,COMPLETED,7.54,7.27
59,21BQ1A0559,CSE,A,A,A,C,C,A,A,A+,COMPLETED,COMPLETED,8.46,8.23
60,21BQ1A0560,CSE,B,B,B,B,E,A,B,A+,COMPLETED,COMPLETED,7.77,7.65
61,21BQ1A0561,CSE,B,D,C,D,C,A,A,A+,COMPLETED,COMPLETED,7.38,7.15
62,21BQ1A0562,CSE,D,A,B,C,E,B,A,A,COMPLETED,COMPLETED,7.38,7.08
63,21BQ1A0563,CSE,B,B,A,C,C,B,A,A+,COMPLETED,COMPLETED,8.08,7.85
64,21BQ1A0564,CSE,A+,A,A+,B,B,A+,A,A+,COMPLETED,COMPLETED,9.15,9.12
65,21BQ1A0565,CSE,C,A,B,C,E,B,A,A+,COMPLETED,COMPLETED,7.62,7.15
66,21BQ1A0566,CSE,E,A,D,E,F,B,A,A,COMPLETED,COMPLETED,5.85,4.62
67,21BQ1A0567,CSE,A+,B,A+,B,A,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.31
68,21BQ1A0569,CSE,A+,A,A+,B,A+,A+,A+,A+,COMPLETED,COMPLETED,9.54,9.38
69,21BQ1A0570,CSE,A,B,B,D,D,A,A,A+,COMPLETED,COMPLETED,7.85,8.04
70,21BQ1A0571,CSE,A,B,B,C,C,A,A+,A+,COMPLETED,COMPLETED,8.23,7.88
71,21BQ1A0572,CSE,D,C,C,E,E,A,A,A+,COMPLETED,COMPLETED,6.77,6.96
72,21BQ1A0573,CSE,B,B,B,C,D,A,A+,A+,COMPLETED,COMPLETED,7.92,7.85
73,21BQ1A0574,CSE,A,D,A+,D,C,A+,A+,A+,COMPLETED,COMPLETED,8.15,8.42
74,21BQ1A0575,CSE,A+,B,A+,B,B,A+,A+,A+,COMPLETED,COMPLETED,9.08,9.19
75,21BQ1A0576,CSE,D,E,D,F,F,A,A,A+,COMPLETED,COMPLETED,4.77,5.5
76,21BQ1A0577,CSE,B,C,C,D,D,B,A,A+,COMPLETED,COMPLETED,7.31,6.77
77,21BQ1A0578,CSE,A+,B,A,B,A,A+,A+,A+,COMPLETED,COMPLETED,9.08,9.08
78,21BQ1A0579,CSE,B,D,A,D,D,A,A+,A+,COMPLETED,COMPLETED,7.62,8.0
79,21BQ1A0580,CSE,A,D,B,C,C,A,A,A+,COMPLETED,COMPLETED,7.85,7.23
80,21BQ1A0581,CSE,D,E,E,E,F,B,B,A,COMPLETED,COMPLETED,5.15,4.31
81,21BQ1A0582,CSE,A,B,A+,C,A,A,A+,A+,COMPLETED,COMPLETED,8.85,9.12
82,21BQ1A0583,CSE,A+,C,A+,B,A,A,A+,A+,COMPLETED,COMPLETED,9.0,8.88
83,21BQ1A0584,CSE,C,D,D,D,D,A,A,C,COMPLETED,COMPLETED,6.69,6.77
84,21BQ1A0585,CSE,D,D,C,F,F,B,A,C,COMPLETED,COMPLETED,4.77,5.0
85,21BQ1A0586,CSE,A+,C,A+,C,B,A,A+,A+,COMPLETED,COMPLETED,8.69,8.81
86,21BQ1A0587,CSE,B,C,A,C,C,A,A,A+,COMPLETED,COMPLETED,8.0,7.77
87,21BQ1A0588,CSE,B,D,B,D,C,A,A,A+,COMPLETED,COMPLETED,7.54,7.77
